hb,cancer_site_icd10code,cancer_site,sex,sex_qf,year,incidences_all_ages,crude_rate,crude_rate_lower95pc_confidence_interval,crude_rate_upper95pc_confidence_interval,easr,easr_lower95pc_confidence_interval,easr_lower95pc_confidence_interval_qf,easr_upper95pc_confidence_interval,easr_upper95pc_confidence_interval_qf,wasr,wasr_lower95pc_confidence_interval,wasr_lower95pc_confidence_interval_qf,wasr_upper95pc_confidence_interval,wasr_upper95pc_confidence_interval_qf,standardised_incidence_ratio,sir_lower95pc_confidence_interval,sir_upper95pc_confidence_interval,hb_name,country
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2007,702,625.6684492,580.2350665,673.7142119,619.9941598,573.9722867,NA,667.7655559,NA,287.1638369,262.9532671,NA,312.4253509,NA,95.74540269,88.792778620000007,103.0977966,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2008,777,685.4269584,638.0732057,735.3647618,670.5848397,623.0901244,NA,719.7991994,NA,311.2480304,287.1364293,NA,336.3178657,NA,102.3065373,95.23853626,109.7602327,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2009,689,606.5674795,562.1153993,653.6002744,586.1994772,541.89145,NA,632.223864,NA,268.3723277,246.0222489,NA,291.6802248,NA,87.86240823,81.42344316,94.67519454,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2010,780,686.076172,638.7671793,735.9616561,639.7836389,594.699946,NA,686.4911077,NA,285.8480852,262.8100804,NA,309.840201,NA,99.2814655,92.43542373,106.500349,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2011,758,665.6129259,619.065658,714.7328256,609.9920908,566.6075758,NA,654.9542721,NA,282.2090792,259.8072211,NA,305.5241313,NA,94.00343333,87.42963823,100.9405571,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2012,737,648.0830109,602.1322483,696.610463,590.3059616,547.5163251,NA,634.682613,NA,271.200305,249.1894724,NA,294.1293813,NA,90.55187857,84.13151604,97.33226299,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2013,786,690.2002107,642.78561,740.1868875,621.4511954,577.8554278,NA,666.6098587,NA,277.0497285,255.3446551,NA,299.6275584,NA,94.45828356,87.96929423,101.2992778,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2014,837,733.9529989,685.0661079,785.4074187,650.2944612,605.822152,NA,696.3195736,NA,289.4208192,267.1344867,NA,312.5873248,NA,98.92109626,92.33219362,105.8560466,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2015,783,686.6614049,639.4012354,736.4903251,604.1767587,561.8253738,NA,648.0452206,NA,273.3961211,251.3800592,NA,296.3231791,NA,93.6463546,87.20104901,100.4419844,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2016,786,686.2830699,639.1375645,735.9860539,592.0593537,550.5444067,NA,635.0618971,NA,272.5509804,250.9140178,NA,295.0700322,NA,94.40213008,87.91699832,101.2390575,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,All,d,2017,894,777.2561294,727.1346125,829.9223542,661.7922873,618.2571708,NA,706.7876074,NA,307.7567395,284.160482,NA,332.2807304,NA,106.9937002,100.0941901,114.2435038,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,1993,278,553.0467305,489.9398882,622.0273216,683.5503947,601.1414498,NA,771.1759156,NA,292.0656496,255.6405764,NA,330.8813999,NA,89.51289541,79.29879258,100.6776887,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,1994,228,451.3868266,394.6930868,513.9378324,550.8198272,477.1099736,NA,629.7468426,NA,241.5814769,208.276152,NA,277.3208903,NA,72.17828988,63.11276792,82.1804086,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,1995,293,576.6581382,512.5128521,646.6114556,704.5007365,622.8906918,NA,791.0617254,NA,303.9470751,267.4907926,NA,342.6984813,NA,92.91340605,82.57806762,104.1845571,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,1996,350,688.8407794,618.5565362,764.9236347,878.1630474,782.1698554,NA,979.6319402,NA,336.5313381,299.515321,NA,375.6728043,NA,104.3531537,93.70572592,115.8790188,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,1997,296,581.6924105,517.3061657,651.8774507,688.7061978,611.2377713,NA,770.7297562,NA,290.4753776,255.2014455,NA,327.9994752,NA,93.76774467,83.38880066,105.0814438,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,1998,286,561.4007538,498.2158392,630.3797649,665.2536485,588.3820362,NA,746.7763738,NA,276.9831695,243.1695064,NA,312.966042,NA,91.34895119,81.06774718,102.5729481,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,1999,266,522.326513,461.4369616,589.0163314,626.6666275,551.2484837,NA,706.8498397,NA,255.1559849,222.9022055,NA,289.5574148,NA,85.01990059,75.10881342,95.87510628,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2000,298,583.1246086,518.790417,653.2324911,670.7406636,594.6272068,NA,751.3715125,NA,298.7616359,261.7993174,NA,338.1291808,NA,94.19128166,83.79947196,105.5157074,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2001,304,590.6697495,526.1306178,660.9407753,681.8674267,605.4347933,NA,762.7776984,NA,291.333717,256.3795681,NA,328.4891504,NA,94.19901036,83.90641904,105.4057144,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2002,306,589.8908895,525.6417222,659.8266302,658.0706102,584.3180518,NA,736.1430212,NA,291.8182879,257.2092799,NA,328.5801068,NA,91.44601454,81.48598568,102.2875869,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2003,316,604.2296073,539.4384542,674.6595516,691.7907351,614.4526716,NA,773.6466515,NA,292.6378215,256.3181168,NA,331.3289593,NA,92.35549555,82.45227503,103.120596,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2004,329,622.1045665,556.6907323,693.092559,678.8974783,605.0105113,NA,756.9796407,NA,294.6244942,261.4408595,NA,329.7620262,NA,93.0829131,83.29531375,103.7045505,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2005,328,615.3038063,550.5092705,685.6285247,666.1179601,593.5649042,NA,742.7938964,NA,302.2764987,266.5524795,NA,340.2144128,NA,94.36534249,84.42820494,105.15061,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2006,383,713.5405023,643.8603955,788.7053768,754.8478943,679.3402398,NA,834.277238,NA,338.5280677,302.9235916,NA,376.0822824,NA,106.4084098,96.01719959,117.6175489,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2007,379,697.2679606,628.8278445,771.1248064,728.124046,655.0111703,NA,805.0495338,NA,322.6365487,287.6967255,NA,359.5498157,NA,103.2292303,93.09679782,114.1635995,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2008,373,679.9992708,612.7334463,752.6333711,710.2976833,637.9229197,NA,786.5052932,NA,303.0586597,270.3670151,NA,337.5891475,NA,97.66767393,88.00634503,108.1000434,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2009,357,650.1429586,584.4432428,721.2072955,663.4998022,593.9120871,NA,736.8869019,NA,279.953406,249.1348264,NA,312.5431559,NA,90.25789065,81.13694627,100.1235934,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2010,391,711.7243388,642.9180547,785.8885727,702.5046524,633.0706371,NA,775.4996247,NA,299.6450716,267.4872494,NA,333.6019053,NA,99.89411555,90.23680511,110.3034414,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2011,358,648.6094755,583.1538853,719.4019545,622.3456307,558.2845597,NA,689.8358623,NA,268.7320928,239.4434039,NA,299.6862748,NA,87.42021926,78.59805082,96.96169879,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2012,362,655.9991302,590.1548298,727.1809682,631.1765034,566.1710864,NA,699.6636263,NA,277.3625408,246.6911257,NA,309.8051184,NA,88.6337811,79.73738316,98.2513479,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2013,395,714.1436604,645.4450554,788.1635382,673.5172168,607.0401023,NA,743.398682,NA,274.1687805,245.4395482,NA,304.4651345,NA,93.42865074,84.44107817,103.1123848,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2014,398,719.4634755,650.5078514,793.7392713,675.3858768,608.4430423,NA,745.7721505,NA,274.1177547,245.0510831,NA,304.789962,NA,92.03438623,83.21352352,101.5358099,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2015,409,739.9634541,669.9793146,815.2710079,674.5903819,609.5364617,NA,742.8952948,NA,290.3936789,258.3645475,NA,324.2672877,NA,96.8349858,87.67654275,106.6900751,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2016,406,731.3207003,661.9052799,806.0365509,645.9656555,583.1645201,NA,711.9321143,NA,279.6753693,250.0364613,NA,310.9504252,NA,96.15081695,87.02438393,105.9741271,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Male,NA,2017,458,820.9503666,747.4770562,899.6931457,718.91587,653.1012432,NA,787.8446346,NA,321.0245393,287.443522,NA,356.433987,NA,107.4090862,97.79620163,117.711402,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,1993,351,640.8266847,575.5321393,711.5001602,619.8438693,556.0886241,NA,687.0091611,NA,319.0471651,281.1076441,NA,359.3533856,NA,114.5584654,102.8859757,127.1925287,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,1994,290,527.85817,468.8473122,592.2410782,499.8072888,443.3213829,NA,559.6311844,NA,238.1513437,206.910847,NA,271.5562469,NA,93.45862557,83.01060378,104.8577825,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,1995,294,533.2849628,474.0623281,597.8603366,511.6299303,454.2453182,NA,572.3784162,NA,245.3585211,213.8184475,NA,279.036784,NA,93.45605211,83.07752276,104.7726275,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,1996,368,668.4831971,601.9206153,740.3954583,638.9820874,574.7647604,NA,706.5511797,NA,322.0680191,284.560521,NA,361.8638448,NA,111.4275831,100.3324537,123.4144356,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,1997,322,584.6679014,522.5446164,652.1448339,550.6180823,491.6263232,NA,612.9040438,NA,264.4547862,231.2290995,NA,299.8784315,NA,99.56129402,88.98251138,111.0517328,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,1998,286,519.0939451,460.6706061,582.8747413,489.0336072,433.6438433,NA,547.7042258,NA,239.4579846,207.3973759,NA,273.7891093,NA,90.69831949,80.49034323,101.8423736,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,1999,371,675.9711391,608.9285033,748.3792636,645.8177493,581.4063438,NA,713.5641505,NA,336.6534407,298.2727177,NA,377.3234009,NA,116.7402081,105.1619456,129.2450904,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2000,301,545.8238132,485.8969414,611.1006802,510.0099475,453.716719,NA,569.5474466,NA,237.160358,206.8056128,NA,269.5634365,NA,92.98301897,82.7742642,104.1031644,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2001,312,562.3344087,501.6614047,628.3231334,529.3575005,471.8952128,NA,590.0734231,NA,268.2269248,235.1790663,NA,303.4158283,NA,97.46054888,86.94505456,108.8973332,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2002,391,702.5298261,634.6124258,775.7359587,661.7255709,597.435781,NA,729.2534027,NA,344.3082275,306.1958011,NA,384.6238282,NA,120.4020454,108.7621212,132.9483713,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2003,299,532.9578268,474.2538903,596.9209228,490.0776775,435.7069465,NA,547.5989324,NA,229.7801365,199.8943332,NA,261.7176007,NA,89.71232774,79.83074514,100.4791801,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2004,309,546.1776403,486.9707217,610.5981431,504.7217694,449.6331083,NA,562.9477957,NA,257.8613289,224.0626893,NA,293.9995748,NA,89.66596187,79.94596435,100.2418733,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2005,406,712.9936954,645.3178357,785.8371558,665.1342882,601.6919635,NA,731.7107046,NA,351.7120865,314.3700837,NA,391.1194921,NA,117.906776,106.7153132,129.9527978,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2006,326,570.0895355,509.8775723,635.4570273,518.7145499,463.4608733,NA,577.0348977,NA,248.3524746,216.3467865,NA,282.5338014,NA,93.73754326,83.83713086,104.4856586,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2007,323,558.3887976,499.1470964,622.7275421,511.8642736,457.1131628,NA,569.6675548,NA,251.691125,218.8254315,NA,286.8226595,NA,88.23921519,78.87756388,98.40632517,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2008,404,690.5156648,624.8154014,761.2455917,630.8719962,570.47268999999994,NA,694.2667965,NA,319.437401,284.537641,NA,356.326838,NA,106.9986282,96.81806543,117.9585608,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2009,332,565.7901464,506.5596485,630.0439968,508.8991522,455.1731564,NA,565.5789903,NA,256.7912495,224.9825825,NA,290.672492,NA,85.42448345,76.48170719,95.12569867,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2010,389,662.0938505,597.9254844,731.2723816,577.0626254,520.59735,NA,636.3932585,NA,272.0510988,239.6233542,NA,306.5068344,NA,98.67319199,89.11004999,108.9830091,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2011,400,681.6051802,616.4374144,751.7877619,597.638551,540.1087686,NA,658.0378911,NA,295.6860657,262.2903179,NA,331.0540012,NA,100.7969813,91.15985668,111.1757058,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2012,375,640.6204623,577.4148097,708.8563128,549.4354197,494.8005553,NA,606.8901826,NA,265.0380692,234.004073,NA,297.9764284,NA,92.48391315,83.35915609,102.3348605,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2013,391,667.5886561,603.0492099,737.1537933,569.3851739,513.9752042,NA,627.590799,NA,279.9306765,247.8846691,NA,313.8964954,NA,95.52175277,86.28714255,105.4754627,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2014,439,747.6030722,679.2959848,820.9181642,625.2030456,567.6397425,NA,685.5064251,NA,304.7238837,271.4215103,NA,339.9254798,NA,106.1201975,96.4241945,116.5270729,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2015,374,636.519904,573.6371127,704.4141723,533.7631356,480.4982656,NA,589.7874798,NA,256.3985632,226.7438244,NA,287.8493369,NA,90.39135745,81.46145467,100.0329335,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2016,380,643.9150032,580.7927926,712.0261964,538.1530519,484.7877768,NA,594.2646902,NA,265.4265914,234.4144976,NA,298.3373128,NA,92.60273991,83.52500508,102.3979506,Borders,S92000003
S08000016,"C00-C97, excluding C44",All cancer types,Female,NA,2017,436,736.1010282,668.6194372,808.5477705,604.6687046,548.592959,NA,663.434002,NA,294.4889397,261.8903153,NA,328.9720573,NA,106.5608005,96.79190726,117.048468,Borders,S92000003
S08000016,C67,Bladder,All,d,1993,41,39.03274943,28.01057489,52.95233203,43.2887133,30.77994105,NA,57.89714866,NA,19.11560507,13.30171128,NA,25.96707275,NA,121.5322963,87.2136741,164.8722829,Borders,S92000003
S08000016,C67,Bladder,All,d,1994,23,21.81128497,13.82648368,32.72763669,22.67715269,14.27346781,NA,32.99485264,NA,10.92623372,6.531639197,NA,16.43300491,NA,65.68040772,41.63574437,98.55286036,Borders,S92000003
S08000016,C67,Bladder,All,d,1995,33,31.14970738,21.44202527,43.7457705,36.22360953,24.65638059,NA,49.98056018,NA,15.9693015,10.73756409,NA,22.22291468,NA,94.85734786,65.2954336,133.214984,Borders,S92000003
S08000016,C67,Bladder,All,d,1996,41,38.73039864,27.79360275,52.54215905,46.35174732,32.26456245,NA,62.95072788,NA,17.66128364,12.27877485,NA,24.00673615,NA,117.1150923,84.04381225,158.8798469,Borders,S92000003
S08000016,C67,Bladder,All,d,1997,30,28.31257078,19.10237261,40.41795526,30.66648713,20.54636628,NA,42.78100447,NA,12.88182812,8.261268056,NA,18.51229862,NA,100.3015471,67.67303261,143.1866952,Borders,S92000003
S08000016,C67,Bladder,All,d,1998,15,14.14560543,7.917187979,23.33102496,16.6574788,NA,z,NA,z,6.242596052,NA,z,NA,z,63.69367822,35.64886819,105.053036,Borders,S92000003
S08000016,C67,Bladder,All,d,1999,28,26.46252717,17.58415713,38.24571963,28.25705585,18.57017082,NA,39.94480769,NA,10.72306843,6.810751355,NA,15.50905412,NA,133.2981361,88.57564341,192.6529205,Borders,S92000003
S08000016,C67,Bladder,All,d,2000,22,20.70588235,12.97626623,31.34895472,22.98184866,14.27174472,NA,33.73336641,NA,7.434371073,4.41641212,NA,11.2254201,NA,114.8279787,71.96208294,173.8509398,Borders,S92000003
S08000016,C67,Bladder,All,d,2001,20,18.70032726,11.42264571,28.88113876,22.85497563,13.41777233,NA,34.76428068,NA,8.654063703,5.013080733,NA,13.27276328,NA,98.15256604,59.95413727,151.5886776,Borders,S92000003
S08000016,C67,Bladder,All,d,2002,15,13.94959546,7.807482686,23.00773633,15.16302191,NA,z,NA,z,5.540739699,NA,z,NA,z,74.11334197,41.48067489,122.2386868,Borders,S92000003
S08000016,C67,Bladder,All,d,2003,23,21.21771218,13.45020944,31.83698607,24.89327393,15.23270726,NA,36.88789676,NA,8.371677327,5.068787849,NA,12.48977498,NA,114.9002734,72.8369171,172.4068257,Borders,S92000003
S08000016,C67,Bladder,All,d,2004,18,16.44436324,9.745971844,25.98918351,17.37370225,NA,z,NA,z,7.087741099,NA,z,NA,z,84.56430028,50.11816375,133.6480523,Borders,S92000003
S08000016,C67,Bladder,All,d,2005,17,15.41950113,8.982427637,24.68811503,18.46704911,NA,z,NA,z,5.6808035629999996,NA,z,NA,z,88.25726222,51.41310762,141.3084264,Borders,S92000003
S08000016,C67,Bladder,All,d,2006,15,13.53057911,7.572962415,22.31663257,13.99442493,NA,z,NA,z,5.645167672,NA,z,NA,z,78.82864354,44.11979339,130.0158596,Borders,S92000003
S08000016,C67,Bladder,All,d,2007,20,17.82531194,10.88816362,27.52974858,18.06947649,10.97477588,NA,26.90433769,NA,6.732651327,3.932384602,NA,10.27353082,NA,101.1262539,61.77054308,156.1812973,Borders,S92000003
S08000016,C67,Bladder,All,d,2008,15,13.23218066,7.40595107,21.82446972,13.01283771,NA,z,NA,z,5.431675599,NA,z,NA,z,73.7323045,41.26741112,121.6102234,Borders,S92000003
S08000016,C67,Bladder,All,d,2009,18,15.84646536,9.391619668,25.04424709,15.64150347,NA,z,NA,z,5.308913198,NA,z,NA,z,89.02478723,52.76173101,140.6975447,Borders,S92000003
S08000016,C67,Bladder,All,d,2010,27,23.74879057,15.65060263,34.55324342,24.20080718,15.58217884,NA,34.68632085,NA,8.517134898,5.384200307,NA,12.3569533,NA,126.2384184,83.19191319,183.670271,Borders,S92000003
S08000016,C67,Bladder,All,d,2011,28,24.58728486,16.33807223,35.53547238,23.94050865,15.85493597,NA,33.66562448,NA,8.855521553,5.579241417,NA,12.87646245,NA,129.5801641,86.10507801,187.2794157,Borders,S92000003
S08000016,C67,Bladder,All,d,2012,17,14.94899754,8.708341954,23.93479319,14.05158867,NA,z,NA,z,4.510868507,NA,z,NA,z,74.10675221,43.16991408,118.6520891,Borders,S92000003
S08000016,C67,Bladder,All,d,2013,25,21.95293291,14.20678069,32.40685959,20.45781723,13.01595735,NA,29.5552745,NA,6.366674803,3.928488189,NA,9.383985984,NA,113.7403644,73.60676674,167.9032151,Borders,S92000003
S08000016,C67,Bladder,All,d,2014,14,12.27639425,6.711618973,20.59770354,12.03383199,NA,z,NA,z,3.396403217,NA,z,NA,z,61.07990658,33.3929533,102.4817046,Borders,S92000003
S08000016,C67,Bladder,All,d,2015,22,19.29316846,12.09092596,29.21008891,17.9796496,11.05579704,NA,26.55980466,NA,5.779723568,3.491725871,NA,8.634922548,NA,96.77599802,60.64900273,146.520024,Borders,S92000003
S08000016,C67,Bladder,All,d,2016,19,16.58953986,9.987986697,25.90662147,15.2538219,NA,z,NA,z,4.307926411,NA,z,NA,z,79.10137172,47.62419303,123.5265904,Borders,S92000003
S08000016,C67,Bladder,All,d,2017,21,18.25769431,11.30180054,27.90882519,16.42548077,9.991106391,NA,24.43335899,NA,6.037385861,3.489749959,NA,9.271851577,NA,93.74298729,58.02838663,143.296114,Borders,S92000003
S08000016,C67,Bladder,Male,NA,1993,24,47.74504148,30.59114897,71.04083712,56.82497593,36.08455552,NA,82.19917367,NA,24.39719783,15.2334487,NA,35.68418588,NA,101.5965215,65.09480835,151.1675708,Borders,S92000003
S08000016,C67,Bladder,Male,NA,1994,11,21.77743462,10.8712169,38.96584608,24.28884393,NA,z,NA,z,11.60445268,NA,z,NA,z,44.5468808,22.23764239,79.70667486,Borders,S92000003
S08000016,C67,Bladder,Male,NA,1995,23,45.26667979,28.69519196,67.92224541,55.08078779,34.56596726,NA,80.29807011,NA,23.77852098,14.79041085,NA,34.86607671,NA,96.96973455,61.47049355,145.5022135,Borders,S92000003
S08000016,C67,Bladder,Male,NA,1996,31,61.01161189,41.45443019,86.60111298,76.73785482,50.43970539,NA,108.4658386,NA,30.98698895,20.65696113,NA,43.37832504,NA,129.8154532,88.20330222,184.2626736,Borders,S92000003
S08000016,C67,Bladder,Male,NA,1997,18,35.37318712,20.96439253,55.90488596,40.93409908,NA,z,NA,z,16.5961006,NA,z,NA,z,87.71425729,51.98502791,138.6263424,Borders,S92000003
S08000016,C67,Bladder,Male,NA,1998,12,23.55527638,12.17135503,41.14632743,28.69686602,NA,z,NA,z,11.18920148,NA,z,NA,z,74.22822238,38.35480567,129.6617664,Borders,S92000003
S08000016,C67,Bladder,Male,NA,1999,16,31.41813612,17.95817942,51.02108471,37.17434485,NA,z,NA,z,14.15923303,NA,z,NA,z,106.4178635,60.82700384,172.8159432,Borders,S92000003
S08000016,C67,Bladder,Male,NA,2000,14,27.39511584,14.97716475,45.96434941,32.51629073,NA,z,NA,z,10.62597602,NA,z,NA,z,105.1386316,57.48026828,176.4047588,Borders,S92000003
S08000016,C67,Bladder,Male,NA,2001,14,27.20189636,14.87152987,45.64015995,35.88388164,NA,z,NA,z,13.98038515,NA,z,NA,z,103.9661665,56.83927068,174.4375615,Borders,S92000003
S08000016,C67,Bladder,Male,NA,2002,10,19.27748005,9.244300991,35.45197217,21.54957268,NA,z,NA,z,8.059549105,NA,z,NA,z,70.84419301,33.97254424,130.2849933,Borders,S92000003
S08000016,C67,Bladder,Male,NA,2003,17,32.50602317,18.93595638,52.04529201,40.84731461,NA,z,NA,z,13.84412369,NA,z,NA,z,124.0513062,72.26445731,198.6181583,Borders,S92000003
